S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent,
4,South Australia,47490,Streaky Bay,212,18.466899,244,21.59292035,456,20.01755926,
4,South Australia,47630,Tatiara,622,16.9528482,635,18.69296438,1257,17.7894141,
4,South Australia,47700,Tea Tree Gully,9063,17.8184535,8761,16.58589224,17824,17.19052901,
4,South Australia,47800,Coorong,535,17.6976513,437,16.8791039,972,17.32002851,
4,South Australia,47910,Tumby Bay,244,16.8275862,257,17.6510989,501,17.2401927,
4,South Australia,47980,Unley,3101,16.3961296,2897,13.78473544,5998,15.02166345,
4,South Australia,48050,Victor Harbor,1079,13.4003974,1012,11.47782693,2091,12.39551841,
4,South Australia,48130,Wakefield,680,18.9204229,635,18.87633769,1315,18.89910894,
4,South Australia,48260,Walkerville,610,15.4900965,668,14.90406069,1278,15.17814727,
4,South Australia,48340,Wattle Range,1021,16.1219012,955,16.12086428,1976,16.12140002,
4,South Australia,48410,West Torrens,4806,15.2489133,4521,13.69916975,9327,14.4562067,
4,South Australia,48540,Whyalla,2077,18.5049893,1843,17.25978648,3920,17.89790887,
4,South Australia,48640,Wudinna,104,17.9620035,106,18.21305842,210,18.0878553,
4,South Australia,48750,Yankalilla,423,13.7337662,414,13.70860927,837,13.72131148,
4,South Australia,48830,Yorke Peninsula,872,13.9363912,820,14.17949161,1692,14.05315615,
4,South Australia,49399,Unincorporated SA,193,11.091954,201,15.76470588,394,13.06799337,
5,Western Australia,50080,Albany,3586,17.738425,3446,16.62084599,7032,17.17258053,
5,Western Australia,50210,Armadale,12514,23.8780339,11909,22.60372775,24423,23.23919539,
5,Western Australia,50250,Ashburton,1057,22.3325586,900,26.92192641,1957,24.23229321,
5,Western Australia,50280,Augusta Margaret River,1921,20.5454545,1797,19.38511327,3718,19.96777658,
5,Western Australia,50350,Bassendean,1528,18.179655,1374,16.14760841,2902,17.15738442,
5,Western Australia,50420,Bayswater,5955,15.9955948,5608,15.13466832,11563,15.56614569,
5,Western Australia,50490,Belmont,3693,15.6742074,3477,15.51193397,7170,15.59509309,
