"Year","StateName","LGA_Name","Total_Persons","Percent_Change"
2010,"South Australia","Other LGA",1606797,1.12077624248893
2010,"Victoria","Melbourne",97623,3.58207688308381
2010,"Victoria","Other LGA",5363478,1.6255416435268
2010,"Western Australia","Other LGA",2270081,2.23968992303923
2010,"Western Australia","Perth",20764,4.35219620062318
2011,"New South Wales","Other LGA",7035248,1.0297055637187
2011,"New South Wales","Sydney",183281,1.40139863235001
2011,"Northern Territory","Darwin",78467,0.745962047094471
2011,"Northern Territory","Other LGA",152825,0.614252231848945
2011,"Queensland","Brisbane",1089879,1.55943657142005
2011,"Queensland","Other LGA",3386899,1.65983311321887
2011,"South Australia","Adelaide",20920,1.92448233861145
2011,"South Australia","Other LGA",1618694,0.740417115541042
2011,"Victoria","Melbourne",100240,2.68072073179476
2011,"Victoria","Other LGA",5437577,1.38154757043844
2011,"Western Australia","Other LGA",2331993,2.72730356317682
2011,"Western Australia","Perth",21416,3.1400500866885
2012,"New South Wales","Other LGA",7114701,1.12935606534411
2012,"New South Wales","Sydney",189543,3.41661165096218
2012,"Northern Territory","Darwin",80437,2.51060955560936
2012,"Northern Territory","Other LGA",155478,1.73597251758547
2012,"Queensland","Brisbane",1111798,2.01114068625967
2012,"Queensland","Other LGA",3456889,2.06649209202873
2012,"South Australia","Adelaide",21537,2.94933078393881
2012,"South Australia","Other LGA",1635188,1.01896961377506
2012,"Victoria","Melbourne",107578,7.32043096568236
2012,"Victoria","Other LGA",5543513,1.94822068726567
2012,"Western Australia","Other LGA",2402441,3.0209353115554
2012,"Western Australia","Perth",23066,7.7045199850579
2013,"New South Wales","Other LGA",7207714,1.30733533285517
2013,"New South Wales","Sydney",196318,3.57438681460144
2013,"Northern Territory","Darwin",82996,3.1813717567786
2013,"Northern Territory","Other LGA",158726,2.08904153642316
2013,"Queensland","Brisbane",1131996,1.81669691796531
2013,"Queensland","Other LGA",3520828,1.84961102309041
2013,"South Australia","Adelaide",22143,2.81376236244602
2013,"South Australia","Other LGA",1649345,0.865772009090086
2013,"Victoria","Melbourne",118711,10.3487701946495
2013,"Victoria","Other LGA",5653958,1.99232869121079
2013,"Western Australia","Other LGA",2462627,2.50520200079835
2013,"Western Australia","Perth",24317,5.42356715512009
2014,"New South Wales","Other LGA",7303837,1.33361284867851
2014,"New South Wales","Sydney",204516,4.17587791236667
2014,"Northern Territory","Darwin",83098,0.122897489035616
2014,"Northern Territory","Other LGA",159796,0.674117661882741
2014,"Queensland","Brisbane",1149107,1.51157777942678
2014,"Queensland","Other LGA",3570546,1.41211101479538
2014,"South Australia","Adelaide",22624,2.17224405003839
